event_location,event_country,keyword_query,request_location_code,request_country,country_iso_code,location_type,serp_results_count,top_results_count,top_result_titles,top_result_urls,top_result_domains,url_overlap_with_israel,query_status,rbo_with_israel
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2020,Andorra,AD,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israeli strike kills colonel in Gaza police force, say Palestinian medics""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.aljazeera.com/news/2026/5/6/israeli-strike-kills-colonel-in-gaza-police-force-say-palestinian-medics""]","[""www.aa.com.tr"", ""www.france24.com"", ""www.aljazeera.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.aljazeera.com""]",0.42857142857142855,ok,0.5566435405428571
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2784,United Arab Emirates,AE,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli strike kills colonel in Gaza police force, say Palestinian medics"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Israeli strikes kill at least 12, Gaza civil defence agency says"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel’s Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel bombs Beirut after telling 700,000 residents to leave""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.aljazeera.com/news/2026/5/6/israeli-strike-kills-colonel-in-gaza-police-force-say-palestinian-medics"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.france24.com/en/middle-east/20260215-gaza-s-civil-defense-agency-says-israeli-airstrikes-killed-12"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.middleeastmonitor.com/20260305-israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gazas-khan-younis/"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html""]","[""www.aa.com.tr"", ""www.aljazeera.com"", ""english.aawsat.com"", ""www.france24.com"", ""www.newarab.com"", ""thearabweekly.com"", ""www.bbc.com"", ""www.middleeastmonitor.com"", ""en.yenisafak.com"", ""www.lemonde.fr""]",0.5384615384615384,ok,0.6000398639071429
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2004,Afghanistan,AF,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israel has list of all Oct. 7 participants, aims to kill or arrest each one — WSJ""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.timesofisrael.com/israel-has-list-of-all-oct-7-participants-aims-to-kill-or-arrest-each-one-wsj/""]","[""www.aa.com.tr"", ""www.bbc.com"", ""www.france24.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.aljazeera.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.lemonde.fr"", ""www.timesofisrael.com""]",0.5384615384615384,ok,0.581814863907143
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2028,Antigua and Barbuda,AG,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israeli strike kills colonel in Gaza police force, say Palestinian medics"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel has list of all Oct. 7 participants, aims to kill or arrest each one — WSJ""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.aljazeera.com/news/2026/5/6/israeli-strike-kills-colonel-in-gaza-police-force-say-palestinian-medics"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.timesofisrael.com/israel-has-list-of-all-oct-7-participants-aims-to-kill-or-arrest-each-one-wsj/""]","[""www.aa.com.tr"", ""www.france24.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.aljazeera.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""www.timesofisrael.com""]",0.5384615384615384,ok,0.606018575157143
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2008,Albania,AL,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel has list of all Oct. 7 participants, aims to kill or arrest each one — WSJ""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.timesofisrael.com/israel-has-list-of-all-oct-7-participants-aims-to-kill-or-arrest-each-one-wsj/""]","[""www.aa.com.tr"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.france24.com"", ""www.aljazeera.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""www.timesofisrael.com""]",0.5384615384615384,ok,0.6330185751571429
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2051,Armenia,AM,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Israeli strike kills colonel in Gaza police force, say Palestinian medics"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israeli strikes kill at least 12, Gaza civil defence agency says""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/news/2026/5/6/israeli-strike-kills-colonel-in-gaza-police-force-say-palestinian-medics"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.france24.com/en/middle-east/20260215-gaza-s-civil-defense-agency-says-israeli-airstrikes-killed-12""]","[""www.aa.com.tr"", ""www.france24.com"", ""www.aljazeera.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.france24.com""]",0.5384615384615384,ok,0.5953855894428572
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2024,Angola,AO,Country,11000,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Israeli strike kills colonel in Gaza police force, say Palestinian medics"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israeli strikes kill at least 12, Gaza civil defence agency says""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/news/2026/5/6/israeli-strike-kills-colonel-in-gaza-police-force-say-palestinian-medics"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.france24.com/en/middle-east/20260215-gaza-s-civil-defense-agency-says-israeli-airstrikes-killed-12""]","[""www.aa.com.tr"", ""www.france24.com"", ""www.aljazeera.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.france24.com""]",0.5384615384615384,ok,0.5953855894428572
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2010,Antarctica,AQ,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli strikes kill at least 12, Gaza civil defence agency says"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260215-gaza-s-civil-defense-agency-says-israeli-airstrikes-killed-12"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations""]","[""www.aa.com.tr"", ""www.france24.com"", ""www.aljazeera.com"", ""en.yenisafak.com"", ""www.lemonde.fr"", ""thearabweekly.com"", ""www.bbc.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.france24.com""]",0.5384615384615384,ok,0.7138057839785714
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2032,Argentina,AR,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel’s Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.middleeastmonitor.com/20260305-israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gazas-khan-younis/""]","[""www.aa.com.tr"", ""www.france24.com"", ""www.aljazeera.com"", ""en.yenisafak.com"", ""thearabweekly.com"", ""english.aawsat.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""www.newarab.com"", ""www.middleeastmonitor.com""]",0.42857142857142855,ok,0.5566435405428571
Khan Younis,Israel,"(conflict OR war OR attack OR armed OR terror OR bomb OR violence OR strike OR protest) AND ""Israel"" AND ""Khan Younis""",2016,American Samoa,AS,Country,11100,10,"[""Israel's Smotrich threatens to bombard Lebanese capital to resemble Gaza’s Khan Younis"", ""Israeli forces kill Palestinian in Khan Younis on first day of Ramadan"", ""Israel to expand Gaza control to 70 percent as it escalates attacks"", ""IDF strikes in Gaza kill 24 as Israel and Hamas trade ceasefire violation accusations"", ""Father mourns daughter killed in Israeli strike on Gaza"", ""Israel Ramps up Qassam Killings in Gaza for Fourth Consecutive Day"", ""Five killed in Gaza, as Israel pounds Khan Younis, Jabalia camp"", ""Israel bombs Beirut after telling 700,000 residents to leave"", ""Israeli strikes kill 20 in Gaza, medics say, after soldier wounded"", ""Israel has list of all Oct. 7 participants, aims to kill or arrest each one — WSJ""]","[""https://www.aa.com.tr/en/middle-east/israels-smotrich-threatens-to-bombard-lebanese-capital-to-resemble-gaza-s-khan-younis/3852010"", ""https://en.yenisafak.com/world/israeli-forces-kill-palestinian-in-khan-younis-on-first-day-of-ramadan-3714785"", ""https://thearabweekly.com/israel-expand-gaza-control-70-percent-it-escalates-attacks"", ""https://www.france24.com/en/middle-east/20260204-idf-strikes-gaza-kill-at-least-21-israel-and-hamas-trade-ceasefire-violation-accusations"", ""https://www.aljazeera.com/video/newsfeed/2026/5/25/father-mourns-daughter-killed-in-israeli-strike-on-gaza"", ""https://english.aawsat.com/arab-world/5252818-israel-ramps-qassam-killings-gaza-fourth-consecutive-day"", ""https://www.newarab.com/news/five-killed-gaza-israel-pounds-khan-younis-jabalia-camp"", ""https://www.lemonde.fr/en/international/article/2026/03/06/israel-bombs-beirut-after-telling-700-000-residents-to-leave_6751141_4.html"", ""https://www.bbc.com/news/articles/cpqyg0g5r0po"", ""https://www.timesofisrael.com/israel-has-list-of-all-oct-7-participants-aims-to-kill-or-arrest-each-one-wsj/""]","[""www.aa.com.tr"", ""en.yenisafak.com"", ""thearabweekly.com"", ""www.france24.com"", ""www.aljazeera.com"", ""english.aawsat.com"", ""www.newarab.com"", ""www.lemonde.fr"", ""www.bbc.com"", ""www.timesofisrael.com""]",0.5384615384615384,ok,0.6330185751571429
