tier,location,country,query_source,query_language,d4s_article_count,type,rank_absolute,title,domain,time_published,timestamp,url,relevant_to_conflict_in_area,relevant_to_specific_event
LOW,Bilanga,Burkina Faso,English (US),en,0,,,,,,,,,
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,1,The Roar of ‘Cease-Fire’ in a Once-Thriving City,www.nytimes.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.nytimes.com/2026/06/09/world/middleeast/lebanon-israel-nabatieh.html,Yes,No**
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,2,Israeli strike kills three Lebanese soldiers; military probes incident,www.detroitnews.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.detroitnews.com/story/news/world/2026/06/06/israeli-strike-lebanese-army-officers-soldier-killed-israeli-strike/90434855007/,Yes,No**
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,3,IDF poised for offensive against Hezbollah in southern Lebanon city; soldier moderately injured by drone,www.timesofisrael.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.timesofisrael.com/idf-poised-for-offensive-against-hezbollah-in-southern-lebanon-city-soldier-moderately-injured-by-drone/,Yes,Yes
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,4,Israeli forces push past Lebanon’s Litani River: How significant is it?,www.aljazeera.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.aljazeera.com/news/2026/5/31/israeli-forces-push-past-lebanons-litani-river-how-significant-is-it,Yes,No
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,5,Iran war: Hezbollah rejects Lebanon-Israel ceasefire terms,www.dw.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.dw.com/en/iran-war-hezbollah-rejects-lebanon-israel-ceasefire-terms/live-77415738,Yes,No
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,6,Lebanon reports Israeli strikes in south and east amid broad evacuation warnings,www.france24.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.france24.com/en/middle-east/20260613-lebanon-reports-israeli-strikes-in-south-and-east-amid-broad-evacuation-warnings,Yes,No**
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,7,Iran declares support for Hezbollah with wider peace deal in doubt,www.reuters.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.reuters.com/world/middle-east/iran-declares-support-hezbollah-with-wider-peace-deal-doubt-2026-06-05/,Cannot surpass paywall,N/A
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,8,"Israel strikes South Lebanon, issues broad evacuation warnings",www.newarab.com,1 month ago,2026-06-17 10:22:47 +00:00,https://www.newarab.com/news/israel-strikes-south-lebanon-issues-broad-evacuation-warnings,Yes,No**
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,9,Capture of Beaufort Castle in southern Lebanon is both a strategic asset and a historical burden for Israel,www.lemonde.fr,1 month ago,2026-06-17 10:22:47 +00:00,https://www.lemonde.fr/en/international/article/2026/06/01/capture-of-beaufort-castle-in-southern-lebanon-is-both-a-strategic-asset-and-a-historical-burden-for-israel_6754018_4.html,Yes,No**
MEDIUM,Nabatiye,Lebanon,English (US),en,2310,news_search,10,Israel has reportedly used white phosphorus near Lebanese cities and towns. What is it?,www.npr.org,1 month ago,2026-06-17 10:22:47 +00:00,https://www.npr.org/2026/06/06/nx-s1-5848668/israel-lebanon-white-phosphorus,Yes,No
HIGH,Bannu,Pakistan,English (US),en,3,news_search,1,"16 terrorists killed, 2 policemen martyred in Bannu joint operation",tribune.com.pk,1 month ago,2026-06-17 10:23:01 +00:00,https://tribune.com.pk/story/2609817/16-militants-killed-2-policemen-martyred-in-bannu-joint-operation,Yes,Yes
HIGH,Bannu,Pakistan,English (US),en,3,news_search,2,"Eight terrorists killed in joint operation by CTD, police in K-P's Bannu",tribune.com.pk,1 month ago,2026-06-17 10:23:01 +00:00,https://tribune.com.pk/story/2609662/eight-terrorists-killed-in-joint-operation-by-ctd-police-in-k-ps-bannu,Yes,Yes
HIGH,Bannu,Pakistan,English (US),en,3,news_search,3,"TMC Internal Conflict: MP Kakoli Ghosh Dastidar Resigns, Accuses Kalyan Banerjee of Misconduct",www.zoomnews.in,1 month ago,2026-06-17 10:23:01 +00:00,https://www.zoomnews.in/en/news-detail/tmc-internal-conflict-mp-kakoli-ghosh-dastidar-resigns-accuses-kalyan-banerjee-of-misconduct.html,No,No
